,bill,year
0,Adoption Amendment Act 2008,2008.0
1,Affiliate Te Arawa Iwi and Hapu Claims Settlement Act 2008,2008.0
2,Affiliate Te Arawa Iwi and Hapu Claims Settlement Bill,2008.0
3,Appropriation (2007/08 Supplementary Estimates) Bill,2008.0
4,Appropriation (2008/09 Estimates) Bill,2008.0
5,Aquaculture Legislation Amendment Bill,2008.0
6,Aquaculture Reform (Repeals and Transitional Provisions) Amendment Act 2008,2008.0
7,Auckland Domain (Auckland Tennis) Amendment Act 2008,2008.0
8,Auckland Regional Amenities Funding Act 2008,2008.0
9,Bail Amendment Act 2008,2008.0
10,Bail Amendment Bill,2008.0
11,Biosecurity Amendment Act 2008,2008.0
12,Biosecurity Amendment Act (No 2) 2008,2008.0
13,Biosecurity Amendment Bill (No 4),2008.0
14,"Births, Deaths, Marriages, and Relationships Registration Amendment Act 2008",2008.0
15,"Births, Deaths, Marriages, and Relationships Registration Amendment Bill",2008.0
16,Bishop Suter Art Gallery Governance Restructuring Act 2008,2008.0
17,Bishop Suter Art Gallery Governance Restructuring Bill,2008.0
18,Broadcasting Amendment Act 2008,2008.0
19,Broadcasting Amendment Bill,2008.0
20,Building Amendment Act 2008,2008.0
21,Building Amendment Bill (No 2),2008.0
22,Cadastral Survey Amendment Act 2008,2008.0
23,Central North Island Forests Land Collective Settlement Act 2008,2008.0
24,Central North Island Forests Land Collective Settlement Bill,2008.0
25,Child Support Amendment Act 2008,2008.0
26,"Children, Young Persons, and Their Families Amendment Act 2008",2008.0
27,Christchurch City Council (Lancaster Park) Land Vesting Act 2008,2008.0
28,Christchurch City Council (Lancaster Park) Land Vesting Bill,2008.0
29,Climate Change Response (Emissions Trading) Amendment Act 2008,2008.0
30,Commerce Amendment Act 2008,2008.0
31,Commerce Amendment Bill,2008.0
32,"Commerce (International Co-operation, and Fees) Amendment Bill",2008.0
33,Companies (Minority Buy-out Rights) Amendment Act 2008,2008.0
34,Copyright Amendment Bill (No 2),2008.0
35,Copyright (New Technologies) Amendment Act 2008,2008.0
36,Corrections (Mothers with Babies) Amendment Act 2008,2008.0
37,Corrections (Social Assistance) Amendment Act 2008,2008.0
38,Credit Contracts and Consumer Finance (International Co-operation) Amendment Bill,2008.0
39,Crimes Amendment Act 2008,2008.0
40,Crimes Amendment Act (No 2) 2008,2008.0
41,Criminal Disclosure Act 2008,2008.0
42,Criminal Investigations (Bodily Samples) Amendment Act 2008,2008.0
43,Cultural Property (Protection in Armed Conflict) Bill,2008.0
44,Customs and Excise Amendment Bill (No 4),2008.0
45,Disability (United Nations Convention on the Rights of Persons with Disabilities) Act 2008,2008.0
46,Disability (United Nations Convention on the Rights of Persons with Disabilities) Bill,2008.0
47,District Courts (District Court Judges) Amendment Bill,2008.0
48,Domestic Violence (Enhancing Safety) Bill,2008.0
49,Education (National Standards) Amendment Bill,2008.0
50,Electricity Amendment Act 2008,2008.0
51,Electricity Amendment Bill (No 3),2008.0
52,Electricity (Disconnection and Low Fixed Charges) Amendment Act 2008,2008.0
53,Electricity (Renewable Preference) Amendment Act 2008,2008.0
54,Electricity (Renewable Preference) Repeal Act 2008,2008.0
55,Electricity (Renewable Preference) Repeal Bill,2008.0
56,Employment Relations Amendment Act 2008,2008.0
57,Employment Relations Amendment Bill,2008.0
58,Employment Relations (Breaks and Infant Feeding) Amendment Bill,2008.0
59,"Employment Relations (Breaks, Infant Feeding, and Other Matters) Amendment Act 2008",2008.0
60,"Energy (Fuels, Levies, and References) Amendment Act 2008",2008.0
61,"Energy (Fuels, Levies, and References) Biofuel Obligation Repeal Act 2008",2008.0
62,"Energy (Fuels, Levies, and References) Biofuel Obligation Repeal Bill",2008.0
63,Fair Trading Amendment Act 2008,2008.0
64,Fair Trading Amendment Bill (No 2),2008.0
