,Bill,annual_bill_number,year,url
0,"Court Officers Act, 1951",41,1950,https://www.oireachtas.ie/en/bills/bill/1950/41/
1,"Rates on Agricultural Land (Relief)(No. 2) Act, 1951",40,1950,https://www.oireachtas.ie/en/bills/bill/1950/40/
2,Social Welfare (Insurance)(No. 2) Bill 1950,39,1950,https://www.oireachtas.ie/en/bills/bill/1950/39/
3,"Tortfeasors Act, 1951",38,1950,https://www.oireachtas.ie/en/bills/bill/1950/38/
4,"Expiring Laws Act, 1950",37,1950,https://www.oireachtas.ie/en/bills/bill/1950/37/
5,"Fine Arts Bill, 1950",36,1950,https://www.oireachtas.ie/en/bills/bill/1950/36/
6,"MacSwiney (Pension) Act, 1950",35,1950,https://www.oireachtas.ie/en/bills/bill/1950/35/
7,"Supplies and Services (Temporary Provisions) Act, 1946 (Continuance and Amendment) Act, 1950",34,1950,https://www.oireachtas.ie/en/bills/bill/1950/34/
8,"Rent Restrictions (Continuance and Amendment) Act, 1950",33,1950,https://www.oireachtas.ie/en/bills/bill/1950/33/
9,Health Bill 1950,32,1950,https://www.oireachtas.ie/en/bills/bill/1950/32/
10,"Supplies and Services (Temporary Provisions) Act, 1946 (Continuance) Bill, 1950",31,1950,https://www.oireachtas.ie/en/bills/bill/1950/31/
11,"Vocational Education (Amendment) Act, 1950",30,1950,https://www.oireachtas.ie/en/bills/bill/1950/30/
12,Fisheries (Consolidation) Bill 1950,29,1950,https://www.oireachtas.ie/en/bills/bill/1950/29/
13,Veterinary Surgeons Bill 1950,28,1950,https://www.oireachtas.ie/en/bills/bill/1950/28/
14,"Agricultural Workers (Weekly Half-Holidays) Act, 1951",27,1950,https://www.oireachtas.ie/en/bills/bill/1950/27/
15,"Sea Fisheries Bill, 1950",26,1950,https://www.oireachtas.ie/en/bills/bill/1950/26/
16,"Appropriation Act, 1950",25,1950,https://www.oireachtas.ie/en/bills/bill/1950/25/
17,"Social Welfare (Insurance) Bill, 1950",24,1950,https://www.oireachtas.ie/en/bills/bill/1950/24/
18,"Limerick City Management Act, 1950",23,1950,https://www.oireachtas.ie/en/bills/bill/1950/23/
19,"Housing (Amendment) Act, 1950",22,1950,https://www.oireachtas.ie/en/bills/bill/1950/22/
20,"Trade Union Act, 1950",21,1950,https://www.oireachtas.ie/en/bills/bill/1950/21/
21,Local Government (County Administration) Bill 1950,20,1950,https://www.oireachtas.ie/en/bills/bill/1950/20/
22,"Rates on Agricultural Land (Relief) Act, 1950",19,1950,https://www.oireachtas.ie/en/bills/bill/1950/19/
23,"Imposition of Duties (Confirmation of Orders)(No. 2) Act, 1950",18,1950,https://www.oireachtas.ie/en/bills/bill/1950/18/
24,"Finance Act, 1950",17,1950,https://www.oireachtas.ie/en/bills/bill/1950/17/
25,"Local Loans Fund (Amendment) Act, 1950",16,1950,https://www.oireachtas.ie/en/bills/bill/1950/16/
26,"Freshwater Fisheries (Prohibition of Netting) Bill, 1950",15,1950,https://www.oireachtas.ie/en/bills/bill/1950/15/
27,"Erne Drainage and Development Act, 1950",14,1950,https://www.oireachtas.ie/en/bills/bill/1950/14/
28,"Local Government Act, 1946 (Amendment) Bill, 1950",13,1950,https://www.oireachtas.ie/en/bills/bill/1950/13/
29,"Imposition of Duties (Confirmation of Order) Act, 1950",12,1950,https://www.oireachtas.ie/en/bills/bill/1950/12/
30,"Coinage Act, 1950",11,1950,https://www.oireachtas.ie/en/bills/bill/1950/11/
31,"Central Fund Act, 1950",10,1950,https://www.oireachtas.ie/en/bills/bill/1950/10/
32,"Exported Live Stock (Insurance) Act, 1950",/9,/195,https://www.oireachtas.ie/en/bills/bill/1950/9/
33,"Post Office (Amendment) Bill, 1950",/8,/195,https://www.oireachtas.ie/en/bills/bill/1950/8/
34,"Meath Hospital Act, 1951",/7,/195,https://www.oireachtas.ie/en/bills/bill/1950/7/
35,"Minerals Company (Amendment) Act, 1950",/6,/195,https://www.oireachtas.ie/en/bills/bill/1950/6/
36,"Local Government (Remission of Rates) Act, 1950",/5,/195,https://www.oireachtas.ie/en/bills/bill/1950/5/
37,"Flax Act, 1936 (Suspension) Act, 1950",/4,/195,https://www.oireachtas.ie/en/bills/bill/1950/4/
38,Intoxicating Liquor (Amendment) Bill 1950,/3,/195,https://www.oireachtas.ie/en/bills/bill/1950/3/
39,"Irish Whiskey Act, 1950",/2,/195,https://www.oireachtas.ie/en/bills/bill/1950/2/
40,Local Government Provisional Orders Confirmation Act  1950 [Private],P1,1950,https://www.oireachtas.ie/en/bills/bill/1950/P1/
41,"Customs (Temporary Provisions) Act, 1945 (Continuance) Act, 1950",/1,/195,https://www.oireachtas.ie/en/bills/bill/1950/1/
42,"Air Navigation and Transport Act, 1950",45,1949,https://www.oireachtas.ie/en/bills/bill/1949/45/
43,"Social Welfare Act, 1950",44,1949,https://www.oireachtas.ie/en/bills/bill/1949/44/
44,"Defence Forces (Temporary Provisions)(No. 2) Act, 1950",42,1949,https://www.oireachtas.ie/en/bills/bill/1949/42/
45,"Agricultural Workers (Holidays) Act, 1950",38,1949,https://www.oireachtas.ie/en/bills/bill/1949/38/
46,"Land Act, 1950",35,1949,https://www.oireachtas.ie/en/bills/bill/1949/35/
47,"Turf Development Act, 1950",34,1949,https://www.oireachtas.ie/en/bills/bill/1949/34/
48,"Transport Act, 1950",32,1949,https://www.oireachtas.ie/en/bills/bill/1949/32/
49,"Pensions (Increase) Act, 1950",28,1949,https://www.oireachtas.ie/en/bills/bill/1949/28/
50,"Industrial Development Authority Act, 1950",21,1949,https://www.oireachtas.ie/en/bills/bill/1949/21/
51,"Nurses Act, 1950",18,1949,https://www.oireachtas.ie/en/bills/bill/1949/18/
52,"Local Government (Repeal of Enactments) Act, 1950",13,1949,https://www.oireachtas.ie/en/bills/bill/1949/13/
53,Social Welfare (Insurance) Act  1952,37,1951,https://www.oireachtas.ie/en/bills/bill/1951/37/
54,"Rates on Agricultural Land (Relief) Act, 1952",36,1951,https://www.oireachtas.ie/en/bills/bill/1951/36/
55,"Electricity (Supply)(Amendment) Act, 1952",35,1951,https://www.oireachtas.ie/en/bills/bill/1951/35/
56,"Tourist Traffic Act, 1952",34,1951,https://www.oireachtas.ie/en/bills/bill/1951/34/
57,"Defence Act, 1954",33,1951,https://www.oireachtas.ie/en/bills/bill/1951/33/
58,"Expiring Laws Act, 1951",32,1951,https://www.oireachtas.ie/en/bills/bill/1951/32/
59,"Fishing Licences (Moville District) Act, 1951",31,1951,https://www.oireachtas.ie/en/bills/bill/1951/31/
60,"Grain Storage (Loans) Act, 1951",30,1951,https://www.oireachtas.ie/en/bills/bill/1951/30/
61,"Land Bill, 1951",29,1951,https://www.oireachtas.ie/en/bills/bill/1951/29/
62,"Imposition of Duties (Confirmation of Orders) (No. 3) Act, 1951",28,1951,https://www.oireachtas.ie/en/bills/bill/1951/28/
63,"Medical Practitioners Act, 1951",27,1951,https://www.oireachtas.ie/en/bills/bill/1951/27/
64,"Pharmacy Act, 1951",26,1951,https://www.oireachtas.ie/en/bills/bill/1951/26/
65,"Undeveloped Areas Act, 1952",25,1951,https://www.oireachtas.ie/en/bills/bill/1951/25/
66,"Supplies and Services (Temporary Provisions) Act, 1946 (Continuance) Act  1951",24,1951,https://www.oireachtas.ie/en/bills/bill/1951/24/
